Airliner,Flight,Origin,Status,Schedule,Type,Order,Schedule_Fix,Destination,Snapshot
Azores Airlines,S4 128,Ponta Delgada (PDL),Landed,12:50,Arrival,1,00:50,Lisbon (LIS),2022-05-26
TAP Air Portugal,TP 6626,Ponta Delgada (PDL),Landed,12:50,Arrival,1,00:50,Lisbon (LIS),2022-05-26
Swiftair,SWT 132,Terceira Island (TER),Landed (Delayed),02:00,Arrival,1,02:00,Lisbon (LIS),2022-05-26
TAP Air Portugal,TP 1493,Conakry (CKY),Landed,05:10,Arrival,2,05:10,Lisbon (LIS),2022-05-26
Emirates,EK 4805,Conakry (CKY),Landed,05:10,Arrival,2,05:10,Lisbon (LIS),2022-05-26
TAP Air Portugal,TP 82,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Landed,05:20,Arrival,2,05:20,Lisbon (LIS),2022-05-26
Azul,AD 7214,Sao Paulo Aeroporto Internacional Guarulhos (GRU),Landed,05:20,Arrival,2,05:20,Lisbon (LIS),2022-05-26
TAP Air Portugal,TP 74,Rio De Janeiro (GIG),Landed,05:20,Arrival,2,05:20,Lisbon (LIS),2022-05-26
Azul,AD 7278,Rio De Janeiro (GIG),Landed,05:20,Arrival,2,05:20,Lisbon (LIS),2022-05-26
Emirates,EK 4813,Rio De Janeiro (GIG),Landed,05:20,Arrival,2,05:20,Lisbon (LIS),2022-05-26
TAP Air Portugal,TP 202,Newark (EWR),Landed,05:30,Arrival,2,05:30,Lisbon (LIS),2022-05-26
Air Canada,AC 2704,Newark (EWR),Landed,05:30,Arrival,2,05:30,Lisbon (LIS),2022-05-26
TAP Air Portugal,TP 218,Boston (BOS),Landed (Delayed),05:40,Arrival,2,05:40,Lisbon (LIS),2022-05-26
TAP Air Portugal,TP 1528,Accra (ACC),Landed (Delayed),05:45,Arrival,2,05:45,Lisbon (LIS),2022-05-26
TAP Air Portugal,TP 1548,Sal (SID),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-26
Emirates,EK 4829,Sal (SID),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-26
Turkish Airlines,TK 8139,Sal (SID),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-26
TAP Air Portugal,TP 1544,Praia (RAI),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-26
Turkish Airlines,TK 8136,Praia (RAI),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-26
TAP Air Portugal,TP 104,Belo Horizonte Tancredo Neves (CNF),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-26
Azul,AD 7254,Belo Horizonte Tancredo Neves (CNF),Landed,06:05,Arrival,3,06:05,Lisbon (LIS),2022-05-26
